date,game_no,team_a,team_b,team_a_score,team_b_score,winner,result_type,note
2026-07-01,1,블랙,컬러,48,43,블랙,NORMAL,
2026-07-01,2,블랙,화이트,31,24,블랙,NORMAL,
2026-07-01,3,화이트,컬러,29,22,화이트,NORMAL,
2026-07-08,1,블랙,컬러,30,44,컬러,NORMAL,
2026-07-08,2,블랙,화이트,31,42,화이트,NORMAL,
2026-07-08,3,화이트,컬러,38,29,화이트,NORMAL,
2026-07-15,1,블랙,컬러,54,46,블랙,NORMAL,
2026-07-15,2,블랙,화이트,46,31,블랙,NORMAL,
2026-07-15,3,화이트,컬러,34,32,화이트,NORMAL,
2026-07-22,1,블랙,컬러,39,43,컬러,NORMAL,
2026-07-22,2,블랙,화이트,48,32,블랙,NORMAL,
2026-07-22,3,화이트,컬러,11,35,컬러,NORMAL,
2026-07-29,1,블랙,컬러,39,49,컬러,NORMAL,
2026-07-29,2,블랙,화이트,45,37,블랙,NORMAL,
2026-07-29,3,화이트,컬러,28,48,컬러,NORMAL,
2026-08-05,1,블랙,컬러,40,40,컬러,TIEBREAK,동점 후 자유투 승부
2026-08-05,2,블랙,화이트,38,38,화이트,TIEBREAK,동점 후 자유투 승부
2026-08-05,3,화이트,컬러,44,44,화이트,TIEBREAK,동점 후 자유투 승부
2026-08-12,1,블랙,컬러,40,48,컬러,NORMAL,
2026-08-12,2,블랙,화이트,27,45,화이트,NORMAL,
2026-08-12,3,화이트,컬러,40,48,컬러,NORMAL,
2026-08-19,1,블랙,컬러,36,35,블랙,NORMAL,
2026-08-19,2,블랙,화이트,47,50,화이트,NORMAL,
2026-08-19,3,화이트,컬러,25,43,컬러,NORMAL,
2026-08-26,1,블랙,컬러,40,39,블랙,NORMAL,
2026-08-26,2,블랙,화이트,0,0,블랙,FORFEIT,0:0; J열 승패 기준
2026-08-26,3,화이트,컬러,0,0,컬러,FORFEIT,0:0; J열 승패 기준
2026-09-02,1,블랙,컬러,38,40,컬러,NORMAL,
2026-09-02,2,블랙,화이트,33,30,블랙,NORMAL,
2026-09-02,3,화이트,컬러,34,38,컬러,NORMAL,
