date,game_no,team_a,team_b,team_a_score,team_b_score,winner,result_type,note
2026-04-01,1,화이트,블랙,40,36,화이트,NORMAL,
2026-04-01,2,블랙,컬러,28,33,컬러,FORFEIT,블랙 몰수패
2026-04-01,3,화이트,컬러,42,45,컬러,NORMAL,
2026-04-08,1,화이트,블랙,24,38,블랙,NORMAL,
2026-04-08,2,블랙,컬러,48,24,블랙,NORMAL,
2026-04-08,3,화이트,컬러,30,53,컬러,NORMAL,
2026-04-15,1,화이트,블랙,0,0,블랙,FORFEIT,화이트 몰수패
2026-04-15,2,블랙,컬러,43,46,컬러,NORMAL,
2026-04-15,3,화이트,컬러,0,0,컬러,FORFEIT,화이트 몰수패
2026-04-22,1,화이트,블랙,42,39,화이트,NORMAL,
2026-04-22,2,블랙,컬러,42,48,컬러,FORFEIT,블랙 몰수패
2026-04-22,3,화이트,컬러,55,29,화이트,NORMAL,
2026-04-29,1,화이트,블랙,46,51,블랙,NORMAL,
2026-04-29,2,블랙,컬러,34,34,컬러,TIEBREAK,자유투 3:2 승
2026-04-29,3,화이트,컬러,46,28,화이트,NORMAL,
2026-05-06,1,화이트,블랙,0,0,블랙,FORFEIT,점수 미기록; J열 승패 기준
2026-05-06,2,블랙,컬러,0,0,블랙,FORFEIT,점수 미기록; J열 승패 기준
2026-05-13,1,화이트,블랙,48,51,블랙,NORMAL,
2026-05-13,2,블랙,컬러,43,36,블랙,NORMAL,
2026-05-13,3,화이트,컬러,38,42,컬러,NORMAL,
2026-05-20,1,화이트,블랙,0,0,블랙,FORFEIT,화이트 몰수패
2026-05-20,2,블랙,컬러,52,36,블랙,NORMAL,원본 상대팀 열 오기입
2026-05-20,3,화이트,컬러,0,0,컬러,FORFEIT,화이트 몰수패
2026-05-27,1,화이트,블랙,0,0,블랙,FORFEIT,화이트 몰수패
2026-05-27,2,블랙,컬러,25,29,컬러,NORMAL,
2026-05-27,3,화이트,컬러,0,0,컬러,FORFEIT,화이트 몰수패
2026-06-03,1,화이트,블랙,0,0,블랙,FORFEIT,화이트 몰수패
2026-06-03,2,블랙,컬러,42,42,컬러,TIEBREAK,자유투 승부; J열 승패 기준
2026-06-03,3,화이트,컬러,0,0,컬러,FORFEIT,화이트 몰수패
2026-06-10,1,화이트,컬러,0,0,컬러,FORFEIT,점수 미기록; J열 승패 기준
2026-06-10,2,블랙,컬러,0,0,컬러,FORFEIT,점수 미기록; J열 승패 기준
